NAME:,idan_walk_2,,
EXPERIMENT TIME:,Thu Jun 01 11:48:04 GMT+03:00 2023,,
ACTIVITY TYPE:,Walking,,
COUNTS OF ACTUAL STEPS:,102,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
55.75068877,-12.51,-4.67,-2.59
55.81779763,-7.45,0.35,-3.14
55.8932951,-6.9,-3.37,-3.3
55.97718118,-7.18,-3.49,-2.55
56.03590144,-8.59,-2.94,-2.43
56.12817613,-10.75,-4.98,-2.63
56.22045082,-10.12,-6.98,-3.69
56.3043369,-9.89,-5.65,-5.81
56.38822298,-13.73,-2.86,-3.77
56.44694323,-7.06,-4.51,-4
56.57277235,-7.1,0.24,-2.86
56.64826982,-8.32,-0.08,-2.16
56.70699008,-8.47,-1.22,-2.24
56.77409894,-12.24,-2.94,-2.71
56.87476224,-11.89,-0.04,-4.39
56.95025971,-12.87,-0.47,-6.59
57.01736858,-13.73,-5.65,-2.2
57.10964326,-6.59,0.2,-3.02
57.17675213,-7.49,-3.77,-3.3
57.26063821,-7.77,-3.41,-1.96
57.3529129,-8.67,-2.86,-2.35
57.42002176,-10.51,-4.51,-2.67
57.50390784,-8.51,-5.06,-2.39
57.64651418,-12.47,-8.39,-7.3
57.72201165,-13.38,-2.67,-3.37
57.7807319,-7.81,-4.2,-4.28
57.83106355,-8.04,-1.18,-3.65
57.92333824,-7.85,-1.49,-3.33
58.00722432,-8.32,-1.33,-2.63
58.06594458,-9.06,-1.96,-2.75
58.16660787,-9.77,-1.92,-1.84
58.25049395,-14.59,0.67,-8.83
58.72864461,-10.51,-7.26,-6.55
