NAME:,run_5_1,,
EXPERIMENT TIME:,Thu Jun 01 21:51:35 GMT+03:00 2023,,
ACTIVITY TYPE:,Running,,
COUNTS OF ACTUAL STEPS:,133,,
  , ,,
Time [sec],ACC X,ACC Y,ACC Z
49.03141376,-17.89,1.61,-17.53
49.09013402,-20.01,0.04,-8.79
49.1740201,-15.22,1.02,-7.02
49.26629478,2.94,-0.12,0.75
49.36695808,-2.79,1.96,-1.49
49.48439859,1.06,1.37,-4.71
49.55989606,-20.01,-3.77,-10.67
49.61861632,-20.01,2.55,-7.92
49.68572518,-12.4,-1.18,-5.88
50.15548723,4.79,1.45,-0.82
50.17226445,-3.1,-3.18,-2.2
50.18904166,-6.79,-1.61,-9.92
50.27292774,-20.01,2.31,-7.22
50.28970496,-20.01,3.61,-12.28
50.30648218,-6.32,-1.8,-3.8
50.36520243,-0.24,0.24,1.1
50.37359104,-1.53,2.08,-2.28
50.4323113,-8.59,2.98,-8.43
50.50780877,-20.01,2.43,-11.38
50.59169485,-20.01,0,-8.75
50.68396954,-3.73,0.98,-2.47
50.7510784,-1.61,-0.27,1.61
50.80979866,-2.55,2.63,-1.26
50.88529613,-15.02,3.02,-12.04
51.00273664,-20.01,-4.35,-9.96
51.11178854,-15.1,1.61,-8.79
51.18728602,3.18,0.43,1.84
51.23761766,-1.18,2.2,-1.84
51.32150374,-1.49,0.9,-3.41
51.39700122,-19.69,2.24,-11.1
51.4808873,-20.01,2.71,-11.85
51.56477338,-10.47,0.63,-5.77
51.64865946,4.55,0.59,0.47
51.71576832,-2.98,1.14,-1.69
51.78287718,-10.43,-4.2,-12.28
51.84998605,-20.01,-0.71,-15.26
51.91709491,-18.91,3.92,-11.34
52.00098099,-5.02,-0.27,0.39
52.08486707,-2.82,1.45,0.47
52.19391898,-2.9,1.29,-2.31
52.27780506,-14.63,-0.86,-9.22
52.37007974,-19.69,3.73,-8.71
52.46235443,-18.2,0.08,-7.77
52.5378519,1.22,0.27,-0.63
52.61334938,-1.45,-1.41,0.47
52.71401267,-1.41,-1.73,-4.86
52.79789875,-17.53,5.1,-2.71
52.8482304,-20.01,3.37,-8.87
52.93211648,-11.06,0.43,-5.77
53.01600256,2.63,-2.55,1.41
53.10827725,-0.27,6.16,-1.92
53.17538611,-2.51,-0.16,-6.86
53.25088358,-20.01,1.29,-12.71
53.32638106,-20.01,2.04,-10.59
53.41026714,-4.51,-0.04,-2.39
53.49415322,-1.37,-0.86,3.61
53.5864279,-3.8,3.49,-1.22
53.67870259,-19.61,-6.79,1.53
53.76258867,-20.01,-0.47,-10.08
53.81292032,-18.79,2.28,-10.67
53.8968064,-2.94,1.49,0.47
